板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
主板,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,000001,平安银行,1991-04-03,"19,405,918,198","19,405,534,450",,,,0,0,华南,广东,深圳市,J 金融业,bank.pingan.com
主板,万科企业股份有限公司,"CHINA VANKE CO., LTD.",广东省深圳市盐田区大梅沙环梅路33号万科中心,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,667,215",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
主板,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,000004,ST国华,1990-12-01,"132,848,008","118,916,853",,,,0,0,华南,广东,深圳市,I 信息技术,www.000004.cn
主板,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,000005,ST星源,1990-12-10,"1,058,536,842","1,057,946,242",,,,0,0,华南,广东,深圳市,N 公共环保,www.fountain.com.cn
主板,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",广东省深圳市罗湖区桂园街道宝安南路2014号振业大厦A座31层,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,995,046",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
主板,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,000007,全新好,1992-04-13,"346,448,044","308,948,044",,,,0,0,华南,广东,深圳市,K 房地产,www.sz000007.com
主板,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",北京市海淀区高梁桥斜街59号院1号楼16层1606,000008,神州高铁,1992-05-07,"2,716,377,683","2,630,074,048",,,,0,0,华北,北京,北京市,C 制造业,www.shenzhou-gaotie.com
主板,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",广东省深圳市笋岗东路1002号宝安广场A座28-29层,000009,中国宝安,1991-06-25,"2,579,213,965","2,551,430,324",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
主板,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,000010,美丽生态,1995-10-27,"1,058,692,292","522,171,498",,,,0,0,华南,广东,深圳市,E 建筑业,www.eco-beauty.cn
主板,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,广东省深圳市罗湖区人民南路国贸大厦39层、42层,000011,深物业A,1992-03-30,"528,373,849","526,475,543",200011,深物业B,1992-03-30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
主板,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,956,966,398",200012,南  玻Ｂ,1992-02-28,"1,109,369,060","1,109,369,060",华南,广东,深圳市,C 制造业,www.csgholding.com
主板,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
主板,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,579,175",200016,深康佳Ｂ,1992-03-27,"811,351,608","811,351,608",华南,广东,深圳市,C 制造业,www.konka.com
主板,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) LIMITED,广东省深圳市布心路3008号,000017,深中华A,1992-03-31,"440,821,951","302,979,689",200017,深中华B,1992-03-31,"248,362,982","248,362,982",华南,广东,深圳市,C 制造业,www.szcbc.com
主板,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,000019,深粮控股,1992-10-12,"1,100,785,974","416,216,407",200019,深粮B,1992-10-12,"51,749,280","51,749,280",华南,广东,深圳市,F 批发零售,www.slkg1949.com
主板,深圳中恒华发股份有限公司,"SHENZHEN ZHONGHENG HUAFA CO., LTD.",广东省深圳市福田区华发北路411栋,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",200020,深华发Ｂ,1992-04-28,"101,995,836","101,995,836",华南,广东,深圳市,C 制造业,www.hwafa.com.cn
主板,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,000021,深科技,1994-02-02,"1,560,587,588","1,560,032,151",,,,0,0,华南,广东,深圳市,C 制造业,www.kaifa.cn
主板,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,000023,深天地Ａ,1993-04-29,"138,756,240","138,756,240",,,,0,0,华南,广东,深圳市,C 制造业,www.sztiandi.com
主板,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd",广东省深圳市罗湖区水贝二路五十六号特力大厦三楼,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",200025,特  力Ｂ,1993-06-21,"38,280,000","38,280,000",华南,广东,深圳市,F 批发零售,www.tellus.cn
主板,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",广东省深圳市南山区高新南一道飞亚达科技大厦,000026,飞亚达,1993-06-03,"367,691,263","362,553,413",200026,飞亚达Ｂ,1993-06-03,"49,936,697","49,936,697",华南,广东,深圳市,F 批发零售,www.fiytagroup.com
主板,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",广东省深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,239,916",,,,0,0,华南,广东,深圳市,D 水电煤气,www.sec.com.cn
主板,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,广东省深圳市福田区八卦四路15号一致药业大厦,000028,国药一致,1993-08-09,"373,241,383","367,733,625",200028,一致Ｂ,1993-08-09,"54,885,600","54,884,475",华南,广东,深圳市,F 批发零售,www.szaccord.com.cn
主板,深圳经济特区房地产(集团)股份有限公司,"ShenZhen Special Economic Zone Real Estate&Properties (Group) Co., Ltd.",广东省深圳市罗湖区人民南路深房广场45-48楼,000029,深深房Ａ,1993-09-15,"891,660,000","891,652,875",200029,深深房Ｂ,1994-01-10,"120,000,000","120,000,000",华南,广东,深圳市,K 房地产,www.sfjt.com.cn
主板,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,吉林省长春市汽车经济技术开发区东风南街777号,000030,富奥股份,1993-09-29,"1,693,824,170","1,692,209,461",200030,富奥B,1993-09-29,"47,818,915","47,818,915",东北,吉林,长春市,C 制造业,www.fawer.com.cn
主板,大悦城控股集团股份有限公司,"GRANDJOY HOLDINGS GROUP CO.,LTD.",广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,000031,大悦城,1993-10-08,"4,286,313,339","4,002,887,169",,,,0,0,华南,广东,深圳市,K 房地产,www.grandjoy.com
主板,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD",广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,000032,深桑达Ａ,1993-10-28,"1,137,959,234","644,763,811",,,,0,0,华南,广东,深圳市,E 建筑业,www.sedind.com
主板,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,000034,神州数码,1994-05-09,"668,971,530","549,790,339",,,,0,0,华南,广东,深圳市,F 批发零售,www.digitalchina.com
主板,中国天楹股份有限公司, China Tianying Inc.,江苏省海安市黄海大道（西）268号2幢,000035,中国天楹,1994-04-08,"2,523,777,297","2,453,345,376",,,,0,0,华东,江苏,南通市,N 公共环保,www.ctyi.com.cn
主板,华联控股股份有限公司,CHINA UNION HOLDINGS LTD.,广东省深圳市深南中路2008号华联大厦11层,000036,华联控股,1994-06-17,"1,483,934,025","1,480,828,283",,,,0,0,华南,广东,深圳市,K 房地产,www.udcgroup.com
主板,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道2097号,000037,深南电A,1994-07-01,"338,908,150","338,895,156",200037,深南电B,1994-11-28,"263,854,446","263,854,446",华南,广东,深圳市,D 水电煤气,www.nsrd.com.cn
主板,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD.",广东省深圳市南山区科苑中路15号科兴科学园B2栋302室,000038,*ST大通,1994-08-08,"522,777,419","250,597,406",,,,0,0,华南,广东,深圳市,L 商务服务,www.chinadatong.com
主板,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,000039,中集集团,1994-04-08,"2,302,682,490","2,301,407,141",,,,0,0,华南,广东,深圳市,C 制造业,www.cimc.com
主板,东旭蓝天新能源股份有限公司,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,000040,东旭蓝天,1994-08-08,"1,486,873,870","1,060,340,670",,,,0,0,华南,广东,深圳市,D 水电煤气,www.dongxulantian.com
主板,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",广东省深圳市福田区福田街道岗厦社区金田路3088号中洲大厦3802,000042,中洲控股,1994-09-21,"664,831,139","663,989,377",,,,0,0,华南,广东,深圳市,K 房地产,www.zztzkg.com
主板,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦六楼,000045,深纺织Ａ,1994-08-15,"457,021,849","457,021,849",200045,深纺织Ｂ,1994-08-15,"49,500,000","49,428,000",华南,广东,深圳市,C 制造业,www.chinasthc.com
主板,泛海控股股份有限公司,"OCEANWIDE HOLDINGS CO., LTD.",北京市东城区建国门内大街28号民生金融中心C座22层,000046,泛海控股,1994-09-12,"5,196,200,656","5,194,090,831",,,,0,0,华北,北京,北京市,J 金融业,www.fhkg.com
主板,深圳市京基智农时代股份有限公司,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",广东省深圳市罗湖区桂园街道老围社区蔡屋围京基一百大厦A座7101,000048,京基智农,1994-11-01,"523,239,250","523,239,250",,,,0,0,华南,广东,深圳市,C 制造业,www.kingkeyzn.com
主板,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼,000049,德赛电池,1995-03-20,"299,386,862","299,268,449",,,,0,0,华南,广东,深圳市,C 制造业,www.desaybattery.com
主板,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD",广东省深圳市龙华区民治街道北站社区留仙大道天马大厦1918,000050,深天马Ａ,1995-03-15,"2,457,747,661","2,375,794,164",,,,0,0,华南,广东,深圳市,C 制造业,www.tianma.com
主板,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市南山区高新技术产业园南区科技南十二路方大科技大厦,000055,方大集团,1996-04-15,"679,715,472","675,876,179",200055,方大Ｂ,1995-11-29,"394,158,755","394,158,755",华南,广东,深圳市,C 制造业,www.fangda.com
主板,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,000056,皇庭国际,1996-07-08,"931,293,708","903,728,783",200056,皇庭B,1995-10-30,"243,235,012","241,863,386",华南,广东,深圳市,L 商务服务,www.wongtee000056.com
主板,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座三十一楼,000058,深 赛 格,1996-12-26,"984,739,354","984,686,929",200058,深赛格B,1996-07-22,"246,461,318","246,379,643",华南,广东,深圳市,L 商务服务,www.segcl.com.cn
主板,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co.,Ltd",辽宁省盘锦市双台子区红旗大街,000059,华锦股份,1997-01-30,"1,599,442,537","1,599,427,537",,,,0,0,东北,辽宁,盘锦市,C 制造业,www.huajinchem.com
主板,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",广东省深圳市罗湖区清水河街道清水河社区清水河一路112号深业进元大厦塔楼2座303C,000060,中金岭南,1997-01-23,"3,737,543,730","3,737,262,480",,,,0,0,华南,广东,深圳市,C 制造业,www.nonfemet.com
主板,深圳市农产品集团股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS GROUP CO., LTD",广东省深圳市罗湖区东晓街道布吉路1019号农产品批发市场第一层,000061,农 产 品,1997-01-10,"1,696,964,131","1,696,936,756",,,,0,0,华南,广东,深圳市,L 商务服务,www.szap.com
主板,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",广东省深圳市福田区华强北路华强广场A座5楼,000062,深圳华强,1997-01-30,"1,045,909,322","1,044,547,851",,,,0,0,华南,广东,深圳市,F 批发零售,www.szhq000062.com
主板,中兴通讯股份有限公司,ZTE CORPORATION,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,000063,中兴通讯,1997-11-18,"3,980,609,974","3,979,881,731",,,,0,0,华南,广东,深圳市,C 制造业,www.zte.com.cn
主板,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),000065,北方国际,1998-06-05,"1,001,709,670","905,286,084",,,,0,0,华北,北京,北京市,E 建筑业,www.norinco-intl.com
主板,中国长城科技集团股份有限公司,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",广东省深圳市南山区科技园长城计算机大厦,000066,中国长城,1997-06-26,"3,225,799,087","3,146,793,276",,,,0,0,华南,广东,深圳市,C 制造业,www.greatwall.cn
主板,深圳华控赛格股份有限公司,"SHENZHEN HUAKONG SEG CO.,LTD.",广东省深圳市大工业区兰竹大道以北CH3主厂房,000068,华控赛格,1997-06-11,"1,006,671,464","1,006,671,464",,,,0,0,华南,广东,深圳市,M 科研服务,www.huakongseg.com.cn
主板,深圳华侨城股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN CO.,LTD",广东省深圳市南山区华侨城指挥部大楼103、105、107、111、112室,000069,华侨城Ａ,1997-09-10,"8,201,793,915","7,056,705,919",,,,0,0,华南,广东,深圳市,K 房地产,www.octholding.com
主板,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,000070,特发信息,2000-05-11,"844,593,857","832,827,723",,,,0,0,华南,广东,深圳市,C 制造业,www.sdgi.com.cn
主板,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING  CO.,LTD",广东省深圳市南山区科技中三路1号海王银河科技大厦24层,000078,海王生物,1998-12-18,"2,750,833,257","2,619,574,845",,,,0,0,华南,广东,深圳市,F 批发零售,www.neptunusbio.com
主板,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",广东省深圳市盐田区盐田港海港大厦十七层-二十层,000088,盐 田 港,1997-07-28,"2,249,161,747","2,249,135,473",,,,0,0,华南,广东,深圳市,G 运输仓储,www.yantian-port.com
主板,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,000089,深圳机场,1998-04-20,"2,050,769,509","2,050,742,403",,,,0,0,华南,广东,深圳市,G 运输仓储,www.szairport.com
主板,深圳市天健(集团)股份有限公司,"SHENZHEN TAGEN GROUP CO., LTD.",广东省深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦19楼,000090,天健集团,1999-07-21,"1,868,545,434","1,868,459,934",,,,0,0,华南,广东,深圳市,E 建筑业,www.tagen.cn
主板,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",广东省深圳市南山区海德三道天利中央商务广场22楼,000096,广聚能源,2000-07-24,"528,000,000","510,848,000",,,,0,0,华南,广东,深圳市,F 批发零售,www.gj000096.com
主板,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",广东省深圳市罗湖区桂园街道解放西路188号,000099,中信海直,2000-07-31,"775,770,137","710,215,136",,,,0,0,华南,广东,深圳市,G 运输仓储,www.cohc.citic
主板,TCL科技集团股份有限公司,TCL Technology Group Corporation,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,000100,TCL科技,2004-01-30,"17,071,891,607","13,651,670,639",,,,0,0,华南,广东,惠州市,C 制造业,www.tcltech.com
主板,宜华健康医疗股份有限公司,"YIHUA HEALTHCARE Co., Ltd.",广东省汕头市澄海区文冠路北侧,000150,*ST宜康,2000-08-07,"877,697,557","805,990,242",,,,0,0,华南,广东,汕头市,Q 卫生,www.yihuahealth.com
主板,中成进出口股份有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT  &  EXPORT CORPORATION LIMITED,北京市丰台区南四环西路188号二区8号楼,000151,中成股份,2000-09-06,"337,370,728","266,543,967",,,,0,0,华北,北京,北京市,F 批发零售,www.complant-ltd.com
主板,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",安徽省无为县北门外大街108号,000153,丰原药业,2000-09-20,"332,111,230","311,977,230",,,,0,0,华东,安徽,芜湖市,C 制造业,www.bbcayy.com
主板,四川省新能源动力股份有限公司,SICHUAN NEW ENERGY POWER COMPANY LIMITED,四川省成都市青白江区大弯镇团结路311号,000155,川能动力,2000-09-26,"1,475,926,818","1,296,931,295",,,,0,0,西南,四川,成都市,D 水电煤气,www.cndl155.com
主板,华数传媒控股股份有限公司,"Wasu Media Holding Co.,Ltd",浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,000156,华数传媒,2000-09-06,"1,852,932,442","1,565,055,111",,,,0,0,华东,浙江,杭州市,R 文化传播,www.wasu.com
主板,中联重科股份有限公司,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD",湖南省长沙市银盆南路361号,000157,中联重科,2000-10-12,"7,096,027,688","7,068,726,983",,,,0,0,华中,湖南,长沙市,C 制造业,www.zoomlion.com
主板,石家庄常山北明科技股份有限公司,SHIJIAZHUANG CHANGSHAN BEIMING TECHNOLOGY CO.，LTD,河北省石家庄市和平东路183号,000158,常山北明,2000-07-24,"1,598,616,721","1,584,286,235",,,,0,0,华北,河北,石家庄市,I 信息技术,www.csbmkj.com
主板,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD",新疆维吾尔自治区乌鲁木齐高新技术产业开发区北京南路358号大成国际9楼,000159,国际实业,2000-09-26,"480,685,993","480,640,668",,,,0,0,西北,新疆,乌鲁木齐市,F 批发零售,www.xjgjsy.com
主板,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co.,Ltd",新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,000166,申万宏源,2015-01-26,"22,535,944,560","22,535,507,316",,,,0,0,西北,新疆,乌鲁木齐市,J 金融业,www.swhygh.com
主板,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co.,Ltd.",江苏省苏州市吴江区盛泽镇市场东路73号,000301,东方盛虹,2000-05-29,"6,611,212,239","5,499,681,063",,,,0,0,华东,江苏,苏州市,C 制造业,www.jsessh.com
主板,美的集团股份有限公司,"Midea Group Co., Ltd.",广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,000333,美的集团,2013-09-18,"7,006,624,598","6,863,069,582",,,,0,0,华南,广东,佛山市,C 制造业,www.midea.com
主板,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",山东省潍坊市高新技术产业开发区福寿东街197号甲,000338,潍柴动力,2007-04-30,"6,783,516,821","5,048,330,138",,,,0,0,华东,山东,潍坊市,C 制造业,www.weichaipower.com
主板,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD.",河南省许昌市许继大道1298号,000400,许继电气,1997-04-18,"1,008,327,309","1,008,269,390",,,,0,0,华中,河南,许昌市,C 制造业,www.xjec.com
主板,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",河北省唐山市丰润区林荫路,000401,冀东水泥,1996-06-14,"2,658,214,247","1,547,299,397",,,,0,0,华北,河北,唐山市,C 制造业,www.jdsn.com.cn
主板,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",北京市西城区金城坊街7号,000402,金 融 街,1996-06-26,"2,988,929,907","2,987,829,036",,,,0,0,华北,北京,北京市,K 房地产,www.jrjkg.com.cn
主板,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co., LTD",山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,000403,派林生物,1996-06-28,"732,485,330","636,305,920",,,,0,0,华北,山西,太原市,C 制造业,www.slbiop.com
主板,长虹华意压缩机股份有限公司,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",江西省景德镇市高新区长虹大道1号,000404,长虹华意,1996-06-19,"695,995,979","694,843,822",,,,0,0,华东,江西,景德镇市,C 制造业,www.hua-yi.cn
主板,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD.",山东省济南市高新区港兴三路北段济南药谷1号楼B座32层,000407,胜利股份,1996-07-03,"880,084,656","875,767,412",,,,0,0,华东,山东,济南市,D 水电煤气,www.vicome.com
主板,藏格矿业股份有限公司,ZANGGE MINING COMPANY LIMITED,青海省格尔木市昆仑南路15-02号,000408,藏格矿业,1996-06-28,"1,580,435,073","1,580,418,573",,,,0,0,西北,青海,海西蒙古族藏族自治州,C 制造业,www.zanggekuangye.com
主板,云鼎科技股份有限公司,"Yunding Technology Co.,Ltd.",山东省济南市工业南路57-1号高新万达J3写字楼19层1910室,000409,云鼎科技,1996-06-27,"664,210,505","423,376,995",,,,0,0,华东,山东,济南市,I 信息技术,www.yundingkeji.cn
主板,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",辽宁省沈阳经济技术开发区开发大路17甲1号,000410,*ST沈机,1996-07-18,"2,064,746,603","1,680,915,944",,,,0,0,东北,辽宁,沈阳市,C 制造业,www.smtcl.com
主板,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD.",浙江省杭州市下城区东新路江南巷2号3幢,000411,英特集团,1996-07-16,"309,500,857","300,830,617",,,,0,0,华东,浙江,杭州市,F 批发零售,www.intmedic.com
主板,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co., Ltd.",河北省石家庄市高新区中山东路931号,000413,东旭光电,1996-09-25,"5,382,749,947","5,029,350,156",200413,东旭B,1996-07-08,"250,000,001","250,000,001",华北,河北,石家庄市,C 制造业,www.dongxuguangdian.com.cn
主板,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",新疆维吾尔自治区乌鲁木齐市沙依巴克区黄河路93号,000415,渤海租赁,1996-07-16,"6,184,521,282","4,256,001,080",,,,0,0,西北,新疆,乌鲁木齐市,L 商务服务,www.bohaileasing.com
主板,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",山东省青岛市崂山区株洲路151号,000416,民生控股,1996-07-19,"531,871,494","531,641,098",,,,0,0,华东,山东,青岛市,J 金融业,www.mskg.com.cn
主板,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",安徽省合肥市长江中路150号,000417,合肥百货,1996-08-12,"779,884,200","779,027,451",,,,0,0,华东,安徽,合肥市,F 批发零售,www.hfbh.com.cn
主板,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",湖南省长沙市雨花区劳动西路589号,000419,通程控股,1996-08-16,"543,582,655","543,361,733",,,,0,0,华中,湖南,长沙市,F 批发零售,www.e-tongcheng.com
主板,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",吉林省吉林市经济技术开发区昆仑街216号,000420,吉林化纤,1996-08-02,"2,458,868,343","2,458,028,143",,,,0,0,东北,吉林,吉林市,C 制造业,www.jlcfc.com
主板,南京公用发展股份有限公司,"NanJing Public Utilities Development Co., Ltd.",江苏省南京市建邺区白龙江东街8号新城科技园科技创新综合体A4号楼18层,000421,南京公用,1996-08-06,"578,331,934","572,646,934",,,,0,0,华东,江苏,南京市,D 水电煤气,www.nj-public.com
主板,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co., Ltd.",湖北省宜昌市猇亭区猇亭大道399号,000422,湖北宜化,1996-08-15,"897,866,712","897,817,191",,,,0,0,华中,湖北,宜昌市,C 制造业,www.hbyh.cn
主板,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",山东省东阿县阿胶街78号,000423,东阿阿胶,1996-07-29,"654,021,537","654,021,537",,,,0,0,华东,山东,聊城市,C 制造业,www.dongeejiao.com
主板,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",江苏省徐州市经济技术开发区驮蓝山路26号,000425,徐工机械,1996-08-28,"11,816,166,093","4,836,698,742",,,,0,0,华东,江苏,徐州市,C 制造业,xgjx.xcmg.com
主板,内蒙古兴业矿业股份有限公司,"INNER MONGOLIA XINGYE MINING CO.,LTD",内蒙古自治区赤峰市新城区八家组团玉龙大街路北、天义路西兴业集团办公楼,000426,兴业矿业,1996-08-28,"1,837,192,219","1,475,117,242",,,,0,0,华北,内蒙古,赤峰市,B 采矿业,www.nmxyky.com
主板,华天酒店集团股份有限公司,"HUATIAN HOTEL GROUP  CO.,LTD.",湖南省长沙市芙蓉区解放东路300号,000428,华天酒店,1996-08-08,"1,018,926,000","1,018,882,500",,,,0,0,华中,湖南,长沙市,H 住宿餐饮,www.huatian-hotel.com
主板,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",广东省广州市白云路85号,000429,粤高速Ａ,1998-02-20,"1,742,056,126","1,303,325,519",200429,粤高速Ｂ,1996-08-15,"348,750,000","348,648,675",华南,广东,广州市,G 运输仓储,www.gpedcl.com
主板,张家界旅游集团股份有限公司,"ZHANG JIA JIE TOURISM GROUP CO.,LTD",湖南省张家界市南庄坪1号花园,000430,张家界,1996-08-29,"404,817,686","331,738,800",,,,0,0,华中,湖南,张家界市,N 公共环保,zjjlyjt.com
主板,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",山东省寿光市圣城街595号,000488,晨鸣纸业,2000-11-20,"1,745,051,684","1,685,544,097",200488,晨  鸣Ｂ,1997-05-26,"706,385,266","706,385,266",华东,山东,潍坊市,C 制造业,www.chenmingpaper.com
主板,山东高速路桥集团股份有限公司,"SHANDONG HI-SPEED ROAD&BRIDGE GROUP CO., LTD.",山东省济南市历下区经十路14677号,000498,山东路桥,1997-06-09,"1,560,987,803","1,457,849,158",,,,0,0,华东,山东,济南市,E 建筑业,www.sdlqgf.com
